,Open,High,Low,Close,Tv
0,5.30,5.38,5.25,5.32,7996120.0
1,5.32,5.39,5.31,5.31,8459999.0
2,5.29,5.29,4.78,4.78,110707936.0
3,4.62,4.62,4.36,4.46,118466456.0
4,4.42,4.5,4.41,4.47,53325748.0
5,4.47,4.54,4.4,4.42,54331204.0
6,4.40,4.4,4.17,4.2,72335440.0
7,4.20,4.43,4.19,4.34,67328248.0
8,4.36,4.5,4.36,4.46,51582508.0
9,4.45,4.57,4.43,4.54,51438048.0
10,4.50,4.56,4.48,4.54,32508012.0
11,4.56,4.6,4.51,4.56,44842228.0
12,4.56,4.67,4.54,4.63,47569808.0
13,4.60,4.65,4.57,4.63,45437592.0
14,4.65,4.72,4.63,4.66,49917896.0
15,4.66,4.72,4.58,4.69,43906696.0
16,4.75,4.81,4.68,4.77,47590392.0
17,4.84,4.89,4.76,4.8,71686424.0
18,4.75,4.82,4.75,4.8,42538352.0
19,4.80,4.84,4.76,4.79,44296396.0
20,4.78,4.84,4.76,4.8,32263584.0
21,4.80,4.85,4.71,4.72,37864464.0
22,4.74,4.74,4.64,4.68,38685292.0
23,4.70,4.85,4.65,4.71,60282912.0
24,4.70,4.89,4.7,4.84,90945896.0
25,4.84,4.86,4.71,4.73,58919264.0
26,4.73,4.85,4.72,4.79,51146632.0
27,4.75,4.77,4.67,4.75,34515760.0
28,4.82,4.95,4.81,4.91,69300408.0
29,4.99,5.0,4.83,4.85,44966316.0
30,4.90,4.92,4.83,4.84,39211360.0
31,4.84,4.9,4.8,4.89,28410788.0
32,4.93,5.06,4.91,5.05,73030392.0
33,5.01,5.03,4.92,4.95,51658776.0
34,4.94,4.95,4.85,4.9,43136444.0
35,4.91,4.92,4.84,4.9,29918828.0
36,4.90,4.92,4.82,4.9,29647924.0
37,4.90,4.91,4.81,4.81,26007264.0
38,4.81,4.89,4.8,4.83,20823372.0
39,4.86,4.86,4.76,4.77,31433436.0
40,4.79,4.81,4.71,4.74,32182020.0
41,4.71,4.81,4.7,4.75,35127580.0
42,4.73,4.82,4.55,4.6,39673328.0
43,4.59,4.64,4.54,4.56,26675972.0
44,4.56,4.6,4.5,4.55,27495808.0
45,4.55,4.59,4.41,4.44,29403800.0
46,4.45,4.52,4.42,4.46,28784604.0
47,4.47,4.48,4.41,4.46,30342908.0
48,4.42,4.53,4.42,4.51,26586984.0
49,4.50,4.51,4.4,4.42,28090800.0
50,4.42,4.44,4.33,4.34,29701280.0
51,4.34,4.4,4.32,4.39,25052900.0
52,4.39,4.48,4.38,4.47,27981596.0
53,4.48,4.6,4.45,4.55,31279444.0
54,4.58,4.61,4.52,4.52,24271254.0
55,4.52,4.57,4.48,4.49,22637964.0
56,4.49,4.57,4.48,4.5,23344554.0
57,4.49,4.52,4.43,4.45,19328108.0
58,4.44,4.51,4.44,4.45,17523702.0
59,4.45,4.45,4.39,4.42,21630604.0
60,4.43,4.47,4.42,4.46,18788146.0
61,4.45,4.54,4.44,4.53,28541420.0
62,4.54,4.57,4.49,4.52,19660104.0
63,4.53,4.55,4.51,4.54,16667480.0
64,4.53,4.61,4.5,4.6,26332392.0
65,4.63,4.67,4.59,4.66,21402912.0
66,4.69,4.74,4.68,4.7,33867860.0
67,4.70,4.74,4.67,4.73,25057244.0
68,4.74,4.79,4.7,4.78,25557816.0
69,4.77,4.8,4.75,4.78,24460112.0
70,4.78,4.78,4.7,4.75,20273870.0
71,4.75,4.8,4.72,4.78,23171410.0
72,4.77,4.83,4.75,4.83,35212048.0
73,4.84,4.85,4.77,4.77,27952808.0
74,4.77,4.88,4.77,4.84,39672192.0
75,4.85,4.91,4.83,4.85,30542698.0
76,4.90,4.96,4.83,4.94,42761004.0
77,4.93,5.05,4.88,5.0,58480532.0
78,5.10,5.5,5.02,5.5,409526688.0
79,5.59,5.72,5.22,5.3,541463360.0
80,5.36,5.52,5.25,5.31,278034304.0
81,5.30,5.45,5.26,5.36,241187808.0
82,5.35,5.44,5.27,5.34,181902880.0
83,5.30,5.34,5.24,5.28,105583984.0
84,5.27,5.31,5.15,5.18,128721344.0
85,5.19,5.23,5.14,5.2,75758024.0
86,5.18,5.22,5.11,5.12,70602608.0
87,5.14,5.16,5.1,5.15,49825000.0
88,5.16,5.21,5.13,5.19,54139132.0
89,5.18,5.27,5.17,5.22,78783904.0
90,5.24,5.33,5.24,5.3,104468160.0
91,5.31,5.31,5.19,5.22,93417736.0
92,5.23,5.35,5.2,5.22,84289040.0
93,5.17,5.25,5.15,5.22,58380356.0
94,5.23,5.33,5.16,5.29,101122112.0
95,5.30,5.34,5.19,5.22,83448320.0
96,5.25,5.7,5.24,5.33,162067456.0
97,5.32,5.38,5.18,5.2,114264160.0
98,5.25,5.35,5.21,5.29,118026176.0
99,5.31,5.31,5.16,5.18,86725312.0
100,5.21,5.29,5.18,5.21,83426640.0
101,5.21,5.26,5.14,5.16,78264088.0
102,5.17,5.18,5.12,5.17,53121172.0
103,5.51,5.65,5.38,5.45,414283616.0
104,5.44,5.47,5.27,5.3,185719312.0
105,5.32,5.32,5.14,5.18,120738352.0
106,5.21,5.22,5.13,5.2,76675112.0
107,5.22,5.23,5.15,5.15,56021872.0
108,5.17,5.18,5.01,5.02,63877736.0
109,5.07,5.07,4.98,5.05,54920840.0
110,5.09,5.25,5.07,5.22,90884592.0
111,5.20,5.5,5.18,5.45,152837984.0
112,5.45,5.59,5.44,5.46,153906064.0
113,5.43,5.44,5.29,5.3,96863840.0
114,5.36,5.36,5.28,5.33,72001928.0
115,5.31,5.34,5.22,5.25,80923120.0
116,5.25,5.4,5.16,5.37,85489296.0
117,5.35,5.48,5.33,5.47,105211032.0
118,5.48,5.83,5.41,5.66,260660512.0
119,5.78,6.23,5.58,6.23,578512832.0
